name,source,source_url,source_price_eur,recommended_sale_eur,margin,demand,competition,viability,category,notes
Open source handheld arcade game retro game console 3.5-inch high-definition display LINUX system emulation simulator $27.64$73.71 -62%4.9100K+ soldNew shoppers save $46.07Lowest price in 90 daysSee p,aliexpress,https://www.aliexpress.us/item/3256806779809246.html,3.5,7.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
R36S Retro Games Console 3.5-Inch IPS Screen With Linux System Portable Pocket Retro Gaming Console 64GB 20000+ Classic Games $35.71$88.99 -59%4.9100K+ soldNew shoppers save $53.28Delivery: Aug 11 - 1,aliexpress,https://www.aliexpress.us/item/3256806779838238.html,36.0,72.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
"Cute Octopus Scalp Massage Comb (Resin)｜Korean Hair Care, Stress Relief, Anti-Hair Loss, Portable Head Massager for Home & Trave $2.86$6.3 -54%4.950,000+ soldNew shoppers save $3.44Delivery: Aug 11 - ",aliexpress,https://www.aliexpress.us/item/3256809857620115.html,2.86,5.72,0.5,5,low,marginal,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
