name,source,source_url,source_price_eur,recommended_sale_eur,margin,demand,competition,viability,category,notes
Pour and Spray Oil Dispenser Bottle – High Capacity Kitchen Fryer for Olive Oil $8.33$20.06 -58%4.9100K+ soldDelivery: Apr 02 - 08Free shippingSee previewSimilar items,aliexpress,https://www.aliexpress.us/item/3256811373447096.html,8.33,16.66,0.5,10,low,viable,kitchen,Target Bilbao/Spain; Competitors sampled: 0
"60pcs Golden Moisturizing Eye Mask Relieve Eye Fatigue Nourish Eye Area Collagen Crystal Eye Mask Korean Skin Care Masks $3.68$7.67 -52%4.910,000+ soldExtra 2% off with coinsSee previewSimilar items",aliexpress,https://www.aliexpress.us/item/3256808243784492.html,60.0,120.0,0.5,10,low,viable,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
JANGKLIFE USB Cordless Rotary Tool Kit Woodworking Engraving Pen DIY For Jewelry Metal Glass Mini Wireless Drill $10.85($0.36/pc) -52%4.9100K+ soldExtra 2% off with coinsSee previewSimilar items,aliexpress,https://www.aliexpress.us/item/3256806809557447.html,10.85,21.7,0.5,10,low,viable,tools,Target Bilbao/Spain; Competitors sampled: 0
"USB Cordless Rotary Tool Kit Woodworking Engraving Pen DIY For Jewelry Metal Glass Mini Wireless Drill With 24PCS Accessory $8.55($0.36/pc) -52%4.910,000+ soldLowest price in 30 daysExtra 2% off with ",aliexpress,https://www.aliexpress.us/item/3256806823679808.html,24.0,48.0,0.5,10,low,viable,tools,Target Bilbao/Spain; Competitors sampled: 0
"Pet Bathing Brush Soft Silicone Massager Shower Gel Bathing Brush Clean Tools Comb Dog Cat Cleaning Grooming Supplies $2.87$5.98 -52%4.910,000+ soldExtra 2% off with coinsSee previewSimilar items",aliexpress,https://www.aliexpress.us/item/3256806824404349.html,2.87,5.74,0.5,10,low,viable,pet_supplies,Target Bilbao/Spain; Competitors sampled: 0
"Lenovo HT38 TWS Bluetooth Earphone Mini Wireless Earbuds with Mic for iPhone Xiaomi Sport Waterproof 9D Stere Headphone $6.37$13.27 -52%4.910,000+ soldExtra 2% off with coinsSee previewSimilar items",aliexpress,https://www.aliexpress.us/item/3256809396240427.html,38.0,76.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
"9 LEDs Solar Spotlights, Outdoor Waterproof, Spot Lights, Brightness Adjustable for Garden Backyard Driveway Patio Decor $7.74$16.11 -52%4.910,000+ soldExtra 2% off with coinsSee previewSimilar items",aliexpress,https://www.aliexpress.us/item/3256807158950880.html,9.0,18.0,0.5,5,low,marginal,home_garden,Target Bilbao/Spain; Competitors sampled: 0
"Elastic Shorts for Women, Loose Fitting, Quick Drying, Summer Thin Running, Fitness, Leisure, and Anti External Wear. Instagram $11.38$22.77 -50%4.950,000+ soldExtra 2% off with coinsSee previewSimila",aliexpress,https://www.aliexpress.us/item/3256806781253289.html,11.38,22.76,0.5,5,low,marginal,sports_outdoor,Target Bilbao/Spain; Competitors sampled: 0
"Men Running T-shirts Compression Long Sleeve Sport Shirts Fitness Tight Training Jogging Tees Gym Sportswear Quick Dry Rashgard $6.61$13.76 -52%4.950,000+ soldExtra 2% off with coinsSee previewSimilar",aliexpress,https://www.aliexpress.us/item/3256806828149602.html,6.61,13.22,0.5,5,low,marginal,sports_outdoor,Target Bilbao/Spain; Competitors sampled: 0
Dog Comb Pet Hair Removal Brush Cats and Dogs Special Comb Beauty Massage Self-cleaning Needle Comb Pet Supplies $2.71$5.65 -52%4.9100K+ soldExtra 2% off with coinsSee previewSimilar items,aliexpress,https://www.aliexpress.us/item/3256806781069796.html,2.71,5.42,0.5,5,low,marginal,pet_supplies,Target Bilbao/Spain; Competitors sampled: 0
"Dog Super Soft  pet Finger Toothbrush Teeth Cleaning Breath Care Nontoxic Silicone Tooth Brush Cat dog toothbrush pet products $1.69$3.52 -52%4.910,000+ soldExtra 2% off with coinsSee previewSimilar i",aliexpress,https://www.aliexpress.us/item/3256806984565795.html,1.69,3.38,0.5,5,low,marginal,pet_supplies,Target Bilbao/Spain; Competitors sampled: 0
"Pet Dog Brush Cat Comb Self Cleaning Pet Hair Remover Brush For Dogs Cats Grooming Tools Pets Dematting Comb Dogs Accessories $2.88$6.01 -52%4.910,000+ soldExtra 2% off with coinsSee previewSimilar it",aliexpress,https://www.aliexpress.us/item/3256806824137450.html,2.88,5.76,0.5,5,low,marginal,pet_supplies,Target Bilbao/Spain; Competitors sampled: 0
