name,source,source_url,source_price_eur,recommended_sale_eur,margin,demand,competition,viability,category,notes
"100pcs Glow In The Dark Pebbles, Resin Luminous Stones For Landscape, Garden Paths, Potted Plants, Parks, Aquarium Decor, $0.99($0.01/pc) -85%4.250,000+ sold$0.89 each, ≥ 5 piecesNew shoppers save $5.",aliexpress,https://www.aliexpress.us/item/3256807119779623.html,100.0,200.0,0.5,5,low,marginal,home_garden,Target Bilbao/Spain; Competitors sampled: 0
Olive Oil Spray Bottle for Oil Bottle Pouring for Cooking Oil Spices Camping Dispenser with Automatic Lid Spice Shaker $0.99$7.37 -86%4.9100K+ soldNew shoppers save $6.38Delivery: Jun 25 - 30See previ,aliexpress,https://www.aliexpress.us/item/3256809729907814.html,0.99,1.98,0.5,5,low,marginal,kitchen,Target Bilbao/Spain; Competitors sampled: 0
2in1 Kitchen Spray Oil Dispenser Oil Sprayer Polisher Or Only Brush Spray for Air Fryer Salad Grilling Roasting Cooking Kitchen $0.99$2.72 -63%4.9100K+ soldNew shoppers save $1.73Delivery: Jun 25 - 30,aliexpress,https://www.aliexpress.us/item/3256809857881601.html,2.0,4.0,0.5,5,low,marginal,kitchen,Target Bilbao/Spain; Competitors sampled: 0
"1PC Kitchen Spatula Rack Pot Lid Rack Shelves Countertop Shovel Spoon Shelf Soup Spoon Pad Put Soup Spoon Chopsticks Holder $1.98$4.96 -60%4.950,000+ soldNew shoppers save $2.98Delivery: Jun 25 - 30Se",aliexpress,https://www.aliexpress.us/item/3256806674525631.html,1.0,2.0,0.5,5,low,marginal,kitchen,Target Bilbao/Spain; Competitors sampled: 0
"Silicone cream spatula Non-stick butter spatula Heat-resistant kitchen baking tools DIY cake baking tools $1.38$3.76 -63%4.950,000+ soldNew shoppers save $2.38Delivery: Jun 25 - 30See previewSimilar i",aliexpress,https://www.aliexpress.us/item/3256806852159868.html,1.38,2.76,0.5,5,low,marginal,kitchen,Target Bilbao/Spain; Competitors sampled: 0
