name,source,source_url,source_price_eur,recommended_sale_eur,margin,demand,competition,viability,category,notes
"21pcs Waterproof Nail Fungus Patch Ingrown Toenail Correction Sticker Damaged Gray Nail Repair Care Feet Tools $3.08$7.16 -56%4.910,000+ soldNew shoppers save $4.08Lowest price in 90 daysSee previewSi",aliexpress,https://www.aliexpress.us/item/3256810098811962.html,21.0,42.0,0.5,5,low,marginal,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
"Manicure Pedicure Tools Toe Nail Shaver Feet Pedicure Knife Kit Foot Callus Rasp Files Dead Skin Remover Scraper Foot Care Tools $1.33$3.82 -65%4.95,000+ soldNew shoppers save $2.49Lowest price in 90 ",aliexpress,https://www.aliexpress.us/item/3256806984417148.html,1.33,2.66,0.5,5,low,marginal,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
"​South Moon Nail Fungus Repair Pen Remove Onychomycosis Paronychia Reduce Toe Infection Brighten Nail Hand Foot Nail Care Liquid $3.61$4.11 -12%3.85,000+ soldNew shoppers save $0.5Lowest price in 90 d",aliexpress,https://www.aliexpress.us/item/3256807755666274.html,3.61,7.22,0.5,5,low,marginal,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
"Microneedle Eye Patches Mask Korean Skin Care Hyaluronic Acid 1-10PCS for Anti Wrinkle Aging Dark Circle Eyes Mask Moisturizing $0.99($0.5/pair) -77%4.64,000+ soldNew shoppers save $3.47Top selling on",aliexpress,https://www.aliexpress.us/item/3256808039997043.html,1.0,2.0,0.5,5,low,marginal,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
