name,source,source_url,source_price_eur,recommended_sale_eur,margin,demand,competition,viability,category,notes
"ILIFE A30 PRO Aspirador e Mop Robô com Sucção de 5000Pa, Esvaziamento Automático, Capacidade para 60 Dias, App/Controle Remoto, Tempo de Funcionamento de 180 Minutos $170.61$413.04 -58%4.950.000+  ven",aliexpress,https://www.aliexpress.us/item/3256812655587158.html,30.0,60.0,0.5,10,low,viable,home_garden,Target Bilbao/Spain; Competitors sampled: 0
"Bastão de Selfie com Luz, Tripé Sem Fio, Controle Remoto Bluetooth, Extensível para iPhone e Android, Transmissão ao Vivo e Vlog $0.99$8.61 -88%4.910.000+  vendido(s)Novo usuário - $7.62 OFFEntrega: 3",aliexpress,https://www.aliexpress.us/item/3256811824954262.html,0.99,1.98,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
"Treinador de Força de Aperto – Fortalecedor de Mão com Resistência Ajustável e Contador Eletrônico Automático |   Exercitador de Antebraço e Dedos para Atletas, Músicos, Recuperação de Lesões $0.99$20",aliexpress,https://www.aliexpress.us/item/3256811841840941.html,0.99,1.98,0.5,5,low,marginal,home_garden,Target Bilbao/Spain; Competitors sampled: 0
EVA antiderrapante chinelos masculinos casa chinelos de fundo grosso confortável leve interior ao ar livre chinelos de casa $0.99$6.61 -85%4.650.000+  vendido(s)Novo usuário - $5.62 OFFTop vendas no A,aliexpress,https://www.aliexpress.us/item/3256809911933460.html,0.99,1.98,0.5,5,low,marginal,home_garden,Target Bilbao/Spain; Competitors sampled: 0
"1/2/3 peças de Impressões em Lona Personalizadas, Pôsteres de Fotos para Família, Animais de Estimação, Animes, Aniversários, Casamentos, Cenários, Decoração de Arte de Parede para Casa $0.99$4.02 -75",aliexpress,https://www.aliexpress.us/item/3256809553847511.html,1.0,2.0,0.5,5,low,marginal,home_garden,Target Bilbao/Spain; Competitors sampled: 0
"Cubo Sensorial Macio e Glutinoso para Alívio do Estresse, Recheado com Gel, Bola Elástica, Caixa Surpresa de Gelo Macio, Recuperação Lenta $0.99$9.59 -89%4.110.000+  vendido(s)$0.94 cada, ≥ 2 peçasNov",aliexpress,https://www.aliexpress.us/item/3256811910569096.html,0.99,1.98,0.5,5,low,marginal,home_garden,Target Bilbao/Spain; Competitors sampled: 0
