name,source,source_url,source_price_eur,recommended_sale_eur,margin,demand,competition,viability,category,notes
"Garden Solar Lamps Outdoor Wall Light Sconces Outdoor Gardens Decoration Led Lights Sunlight Lamp Lighting Waterproof Furniture $0.99$13.4 -92%4.410,000+ sold$2 off on $15New shoppers save $12.41See p",aliexpress,https://www.aliexpress.us/item/3256809301219034.html,0.99,1.98,0.5,10,low,viable,home_garden,Target Bilbao/Spain; Competitors sampled: 0
"3 in 1 Cat Steam Brush Cat Grooming Brush with Release Button Cat Brush Pet Hair Cleaning Brush Comb for Cats Dogs Small Animals $3.91$26.82 -85%4.95,000+ sold$2 off on $15New shoppers save $22.91See ",aliexpress,https://www.aliexpress.us/item/3256811494235243.html,3.0,6.0,0.5,10,low,viable,pet_supplies,Target Bilbao/Spain; Competitors sampled: 0
"New Wireless Mini Earbuds LED Power Digital Display TWS Headset Stereo Sound Bluetooth-compatible 5.3 for smartphones $3.41$6.83 -50%4.910,000+ sold$2 off on $15Lowest price in 30 daysSee previewSimil",aliexpress,https://www.aliexpress.us/item/3256806718278658.html,5.3,10.6,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
"Custom Metal Tin Signs Retro Plaque Home Decor Iron Wall Art Poster Personalized Text Plates Street Sign 20x30cm/15x30cm/30x30cm $4.86$8.24 -41%4.910,000+ sold$2 off on $15CustomizableSee previewSimil",aliexpress,https://www.aliexpress.us/item/2251832763785959.html,20.0,40.0,0.5,5,low,marginal,home_garden,Target Bilbao/Spain; Competitors sampled: 0
"Electric Neck Massager EMS Muscle Massage Stimulator Low Frequency Instrument Back Cervical Calf Patches Pain Joints Mini Device $0.99$8.27 -88%4.310,000+ sold$2 off on $15$0.94 each, ≥ 2 piecesSee pr",aliexpress,https://www.aliexpress.us/item/3256805938933870.html,0.99,1.98,0.5,5,low,marginal,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
