name,source,source_url,source_price_eur,recommended_sale_eur,margin,demand,competition,viability,category,notes
"1/4/8/12/pcs Solar LED Lights Outdoor Garden Light Deck Lamp Solar Stairs Light Waterproof Solar Step Lamp Patio Garden Decor $0.99$5.95 -83%4.410,000+ sold$2 off on $15$0.94 each, ≥ 3 piecesSee previ",aliexpress,https://www.aliexpress.us/item/3256806976045268.html,1.0,2.0,0.5,10,low,viable,home_garden,Target Bilbao/Spain; Competitors sampled: 0
"Silicone Face Scrubber Electric Facial Cleansing Brush with Heating Vibration Waterproof Face Wash Brush with 5 Speed Adjustable $17.484.910,000+ sold$2 off on $15Save $21.36See previewSimilar items",aliexpress,https://www.aliexpress.us/item/3256809902824803.html,5.0,10.0,0.5,10,low,viable,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
"Neck Massager Mini Electric Neck Massage EMS Cervical Back Vertebra Massage Patch 8 Modes Relieve Relax Muscle Fatigue Tools $0.99$6.58 -84%4.150,000+ sold$2 off on $15$0.94 each, ≥ 2 piecesSee previe",aliexpress,https://www.aliexpress.us/item/3256806830750482.html,8.0,16.0,0.5,5,low,marginal,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
"Bionic Neck Shoulder Massager Multifunctional 3-Level Cervical Massage Electric Heating Kneading Muscles Massage  Neck Waist Leg $32.814.910,000+ sold$4 off on $29Save $38.52See previewSimilar items",aliexpress,https://www.aliexpress.us/item/3256809850778396.html,3.0,6.0,0.5,5,low,marginal,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
"Electric V Face Lifting Beauty Device 6 Modes 8 Levels EMS Micro-current Firming Facial Massager Double Chin Removal Skin Care $7.994.910,000+ sold$2 off on $15Save $7.98See previewSimilar items",aliexpress,https://www.aliexpress.us/item/3256806491952358.html,6.0,12.0,0.5,5,low,marginal,beauty_health,Target Bilbao/Spain; Competitors sampled: 0
