name,source,source_url,source_price_eur,recommended_sale_eur,margin,demand,competition,viability,category,notes
Mini GPS Locator AntiLost Alarm Wallet Keychain Smart Tag Bluetooth-Compatible Tracer Keychain Dog Pet Child Tracker Key Finder $2.76$8.12 -66%4.1100K+ soldDelivery: May 15 - 20Free shipping over $10S,aliexpress,https://www.aliexpress.us/item/3256806665541849.html,2.76,5.52,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
Original T2 Wireless Bluetooth Earphone Transparent HIFI Headphones LED Power Digital Display Stereo Sound Earphones for Xiaomi $3.35$6.69 -50%4.9100K+ soldDelivery: May 15 - 20Free shipping over $10S,aliexpress,https://www.aliexpress.us/item/3256806491717893.html,2.0,4.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
"Lenovo LP75 Sports Wireless Earphones with Mics,Button Control, LED Power Display,Hifi Stereo Sound Bluetooth 5.3 TWS Headphones $14.7$30.62 -52%4.950,000+ soldDelivery: May 15 - 20Free shipping over ",aliexpress,https://www.aliexpress.us/item/3256806491722839.html,75.0,150.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
"Lenovo Thinkplus XT88 in Ear Bluetooth Earphones with Dual Microphones, Stereo Noise Reduction, Bass HIFI Touch Earphones $8.82$17.64 -50%4.910,000+ soldDelivery: May 15 - 20Free shipping over $10See ",aliexpress,https://www.aliexpress.us/item/3256806596524060.html,88.0,176.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
"Baseus Encok CZ11/HZ11 Wired Earphones Type-C/3.5mm Jack Wired Headphones With Mic 120°Angle For Laptop Computer Tablet Phone $4.28$8.93 -52%4.910,000+ soldDelivery: May 15 - 20Free shipping over $10S",aliexpress,https://www.aliexpress.us/item/3256809857747721.html,11.0,22.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
"Original Lenovo XT88 TWS Wireless Earphones Bluetooth 5.3 Dual MIC Stereo Noise Reduction Bass HIFI Touch Control Earbuds $8.89$18.52 -52%4.910,000+ soldDelivery: May 15 - 20Free shipping over $10See ",aliexpress,https://www.aliexpress.us/item/3256806851708188.html,88.0,176.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
