name,source,source_url,source_price_eur,recommended_sale_eur,margin,demand,competition,viability,category,notes
Running Shirts Soccer Shirts Men's Jersey Sportswear Mens Jogging T-Shirts Quick Dry Compression Sport T-Shirt Fitness Gym $3.5$8.17 -57%4.9100K+ soldNew shoppers save $4.67Lowest price in 90 daysSee ,aliexpress,https://www.aliexpress.us/item/3256806781174761.html,3.5,7.0,0.5,10,low,viable,sports_outdoor,Target Bilbao/Spain; Competitors sampled: 0
"CHRLCK Men's Running Quick Drying T-shirts Breathable Hiking Fishing Tees Soft Elasticity Outdoor Sports Short Shirt Summer $0.99$11.38 -91%4.6100K+ sold$0.95 each, ≥ 2 piecesNew shoppers save $10.39S",aliexpress,https://www.aliexpress.us/item/3256807239918160.html,0.99,1.98,0.5,5,low,marginal,sports_outdoor,Target Bilbao/Spain; Competitors sampled: 0
"Men's Running Shorts Quick-drying Fitness Black Double Layer Shorts Men New Sport Workout Training Bodybuilding Short Pants $8.61$19.38 -55%4.950,000+ soldNew shoppers save $10.77Delivery: Jun. 28 - J",aliexpress,https://www.aliexpress.us/item/3256806675443739.html,8.61,17.22,0.5,5,low,marginal,sports_outdoor,Target Bilbao/Spain; Competitors sampled: 0
