name,source,source_url,source_price_eur,recommended_sale_eur,margin,demand,competition,viability,category,notes
"Training Fitness Rubber Resistance Bands Yoga Home Gym Elastic Gum Pilates Crossfit Workout Equipment Bodybuilding For Sports $1.48$3.36 -55%4.950,000+ soldNew shoppers save $1.88Delivery: Aug 02 - 07",aliexpress,https://www.aliexpress.us/item/3256807290293914.html,1.48,2.96,0.5,10,low,viable,sports_outdoor,Target Bilbao/Spain; Competitors sampled: 0
Original Arkos R36S Retro Game Console 128GB Handheld 3.5 Inch IPS Screen Portable Pocket Video Player 64GB Consola Kid Gift $33.564.9100K+ soldSave $37.85Lowest price in 90 daysSee previewSimilar ite,aliexpress,https://www.aliexpress.us/item/3256806824322477.html,36.0,72.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
"Bottle Brush Insulation Cup Washing No Deadend Long Handled Silicone Cleaning Brush Household Multifunctional Cleaning Tools $1.66$3.47 -52%4.950,000+ soldDelivery: Aug 02 - 07Extra 2% off with coinsS",aliexpress,https://www.aliexpress.us/item/3256806541424698.html,1.66,3.32,0.5,5,low,marginal,kitchen,Target Bilbao/Spain; Competitors sampled: 0
"3 Pairs Cooling Breathable Arm Sleeves Anti‑UV Sun Protection Covers For Men Women Driving Golf Cycling Sports $0.99$3.48 -71%4.950,000+ soldNew shoppers save $2.49Delivery: Aug 02 - 07See previewSimi",aliexpress,https://www.aliexpress.us/item/3256808858847899.html,3.0,6.0,0.5,5,low,marginal,sports_outdoor,Target Bilbao/Spain; Competitors sampled: 0
