name,source,source_url,source_price_eur,recommended_sale_eur,margin,demand,competition,viability,category,notes
"VAORLO S10 New Earphone Bluetooth Earphone Sport Business Single Ear Earphone With Good Sport Range and Noise Reduction Wearing $2.92$6.09 -52%4.910,000+ soldExtra 2% off with coinsSee previewSimilar ",aliexpress,https://www.aliexpress.us/item/3256806984913322.html,10.0,20.0,0.5,10,low,viable,electronics,Target Bilbao/Spain; Competitors sampled: 0
"10 LED Solar Garden Lights Firefly Waterproof Solar Lights Outdoor for Yard Patio Pathway Christmas Decorations Solar Lamp $4.01$8.35 -52%4.950,000+ soldExtra 2% off with coinsSee previewSimilar items",aliexpress,https://www.aliexpress.us/item/3256806824095588.html,10.0,20.0,0.5,10,low,viable,home_garden,Target Bilbao/Spain; Competitors sampled: 0
"Solar LED Spotlight for Outdoor Garden Landscape Lighting Waterproof Solar Powered Spot Lights for Garden Lawn Yard Walkway $12.2$24.41 -50%4.910,000+ soldExtra 2% off with coinsSee previewSimilar ite",aliexpress,https://www.aliexpress.us/item/3256806824039803.html,12.2,24.4,0.5,10,low,viable,home_garden,Target Bilbao/Spain; Competitors sampled: 0
"Solar LED Spotlight for Outdoor Garden Landscape Lighting Waterproof Solar Powered Spot Lights for Garden Lawn Yard Walkway $8.41$16.82 -50%4.910,000+ soldExtra 2% off with coinsSee previewSimilar ite",aliexpress,https://www.aliexpress.us/item/3256807958532877.html,8.41,16.82,0.5,10,low,viable,home_garden,Target Bilbao/Spain; Competitors sampled: 0
"T2 Wireless Mini Earbuds LED Power Digital Display TWS Headset Stereo Sound Bluetooth-compatible 5.3 for iPone Xiaomi Lenovo $3.32$6.63 -50%4.910,000+ soldLowest price in 90 daysExtra 2% off with coin",aliexpress,https://www.aliexpress.us/item/3256809395935156.html,2.0,4.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
"Mini Tag Gps Tracker Android Google Find My Gps Locator Air Tag Car Gps Tracking Device Gps Tracker Bicycle Electronics Security $0.99$15.74 -93%4.410,000+ soldNew shoppers save $14.75Top selling on A",aliexpress,https://www.aliexpress.us/item/3256809179513901.html,0.99,1.98,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
100LED Solar Flood Lights 3 Modes Outdoor Solar Motion Security Solar Light Waterproof for Garden Patio Garage Wall Light $10.49($5.24/pc) -50%4.9100K+ soldExtra 2% off with coinsSee previewSimilar it,aliexpress,https://www.aliexpress.us/item/3256807448798017.html,100.0,200.0,0.5,5,low,marginal,home_garden,Target Bilbao/Spain; Competitors sampled: 0
