name,source,source_url,source_price_eur,recommended_sale_eur,margin,demand,competition,viability,category,notes
R36S Retro Handheld Video Game Console Linux System 3.5 Inch IPS Screen R35s Plus Portable Pocket Video Player 64GB 128GB $384.9100K+ soldSave $50.49Lowest price in 90 daysSee previewSimilar items,aliexpress,https://www.aliexpress.us/item/3256809946654474.html,36.0,72.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
"ARKOS R36S Retro Handheld Game Console Linux System 3.5-inch IPS Screen Video Player 64GB/128GB Portable Handheld Game Console $28.844.910,000+ soldSave $33.86Delivery: Jul 19 - 24See previewSimilar i",aliexpress,https://www.aliexpress.us/item/3256807636361259.html,36.0,72.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
"R36S Retro Handheld Video Game Console Linux System 3.5-inch IPS Screen Portable Handheld Video Player 64GB 15000 Games $30.9$108.79 -71%4.510,000+ soldNew shoppers save $77.89Lowest price in 90 daysS",aliexpress,https://www.aliexpress.us/item/3256806085262626.html,36.0,72.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
"Open Source R36SUltra Retro Handheld Video Game Console Linux System 4.0 Inch IPS Screen Portable Pocket Video Player Boy Gift $38.76$85.53 -54%4.910,000+ soldNew shoppers save $46.77Delivery: Jul 19 ",aliexpress,https://www.aliexpress.us/item/3256810520606552.html,36.0,72.0,0.5,5,low,marginal,electronics,Target Bilbao/Spain; Competitors sampled: 0
